Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Year
Champions Tour CIS Stage 1: Challengers 3,343,Qualifier,707.0,Round of 32,3246.0,2021
Champions Tour CIS Stage 1: Challengers 3,343,Qualifier,707.0,Round of 64,3245.0,2021
Champions Tour CIS Stage 1: Challengers 3,343,Qualifier Play-in,708.0,Quarterfinals,3212.0,2021
Champions Tour CIS Stage 1: Masters,344,All Stages,,All Match Types,,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Decider (A),3337.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Decider (B),3338.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Elimination (A),3333.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Elimination (B),3334.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Grand Final,3340.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Opening (A),3331.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Opening (B),3332.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Semifinals,3339.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Winner's (A),3335.0,2021
Champions Tour CIS Stage 1: Masters,344,Main Event,710.0,Winner's (B),3336.0,2021
Champions Tour CIS Stage 2: Challengers 1,387,All Stages,,All Match Types,,2021
Champions Tour CIS Stage 2: Challengers 1,387,Main Event,797.0,Grand Final,3727.0,2021
Champions Tour CIS Stage 2: Challengers 1,387,Main Event,797.0,Quarterfinals,3725.0,2021
Champions Tour CIS Stage 2: Challengers 1,387,Main Event,797.0,Semifinals,3726.0,2021
Champions Tour CIS Stage 2: Challengers 1,387,Open Qualifier,795.0,Round of 16,3724.0,2021
Champions Tour CIS Stage 2: Challengers 1,387,Open Qualifier,795.0,Round of 32,3723.0,2021
Champions Tour CIS Stage 2: Challengers 1,387,Open Qualifier,795.0,Round of 64,3722.0,2021
Champions Tour CIS Stage 2: Challengers 1,387,Qualifier Play-In,796.0,Quarterfinals (Seeding),3728.0,2021
Champions Tour CIS Stage 2: Challengers 2,391,All Stages,,All Match Types,,2021
Champions Tour CIS Stage 2: Challengers 2,391,Main Event,809.0,Grand Final,4013.0,2021
Champions Tour CIS Stage 2: Challengers 2,391,Main Event,809.0,Quarterfinals,4011.0,2021
Champions Tour CIS Stage 2: Challengers 2,391,Main Event,809.0,Semifinals,4012.0,2021
Champions Tour CIS Stage 2: Challengers 2,391,Open Qualifier,807.0,Round of 32,3916.0,2021
Champions Tour CIS Stage 2: Challengers 2,391,Open Qualifier,807.0,Round of 64,3915.0,2021
Champions Tour CIS Stage 2: Challengers 2,391,Qualifier Play-In,808.0,Quarterfinal,3952.0,2021
Champions Tour CIS Stage 2: Challengers 2,391,Qualifier Play-In,808.0,Round of 16,3951.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,All Stages,,All Match Types,,2021
Champions Tour CIS Stage 3: Challengers 1,543,Closed Qualifier,1058.0,Lower Round 1,5622.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Closed Qualifier,1058.0,Lower Round 2,5623.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Closed Qualifier,1058.0,Upper Quarterfinals,5621.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Closed Qualifier,1058.0,Upper Round of 16,5620.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Main Event,1059.0,Grand Final,5749.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Main Event,1059.0,Lower Final,5753.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Main Event,1059.0,Lower Round 1,5750.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Main Event,1059.0,Lower Round 2,5751.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Main Event,1059.0,Lower Round 3,5752.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Main Event,1059.0,Upper Final,5748.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Main Event,1059.0,Upper Quarterfinals,5746.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Main Event,1059.0,Upper Semifinals,5747.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Open Qualifier,1057.0,Round of 16,5568.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Open Qualifier,1057.0,Round of 32,5567.0,2021
Champions Tour CIS Stage 3: Challengers 1,543,Open Qualifier,1057.0,Round of 64,5566.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,All Stages,,All Match Types,,2021
Champions Tour CIS Stage 3: Challengers 2,546,Closed Qualifier,1067.0,Lower Round 1,6384.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Closed Qualifier,1067.0,Lower Round 2,6385.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Closed Qualifier,1067.0,Lower Round 3,6386.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Closed Qualifier,1067.0,Lower Round 4,6387.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Closed Qualifier,1067.0,Upper Quarterfinals,6382.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Closed Qualifier,1067.0,Upper Round of 16,6381.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Closed Qualifier,1067.0,Upper Semifinals,6383.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Main Event,1068.0,Grand Final,6467.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Main Event,1068.0,Lower Final,6471.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Main Event,1068.0,Lower Round 1,6468.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Main Event,1068.0,Lower Round 2,6469.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Main Event,1068.0,Lower Round 3,6470.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Main Event,1068.0,Upper Final,6466.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Main Event,1068.0,Upper Quarterfinals,6464.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Main Event,1068.0,Upper Semifinals,6465.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Open Qualifier,1066.0,Round of 16,6380.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Open Qualifier,1066.0,Round of 32,6379.0,2021
Champions Tour CIS Stage 3: Challengers 2,546,Open Qualifier,1066.0,Round of 64,6378.0,2021
Champions Tour EMEA: Last Chance Qualifier,559,All Stages,,All Match Types,,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095.0,Grand Final,7415.0,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095.0,Lower Final,7419.0,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095.0,Lower Round 1,7416.0,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095.0,Lower Round 2,7417.0,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095.0,Lower Round 3,7418.0,2021
