Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Match Name,Match ID,Map,Game ID,Year
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Semifinals,7413,G2 Esports vs FUT Esports,42202,Breeze,51933,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Semifinals,7413,G2 Esports vs FUT Esports,42202,Ascent,51932,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Semifinals,7413,Guild Esports vs Team Liquid,42203,Bind,51935,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Semifinals,7413,Guild Esports vs Team Liquid,42203,Split,51936,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 2,7417,Guild Esports vs Oxygen Esports,42208,Split,51950,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 2,7417,Guild Esports vs Oxygen Esports,42208,Breeze,51951,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 2,7417,FUT Esports vs Papara SuperMassive,42209,Split,51953,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 2,7417,FUT Esports vs Papara SuperMassive,42209,Haven,51954,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 2,7417,FUT Esports vs Papara SuperMassive,42209,Icebox,51955,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Final,7414,G2 Esports vs Team Liquid,42204,Ascent,51938,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Final,7414,G2 Esports vs Team Liquid,42204,Bind,51939,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Final,7414,G2 Esports vs Team Liquid,42204,Haven,51940,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 3,7418,Guild Esports vs FUT Esports,42210,Haven,51956,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 3,7418,Guild Esports vs FUT Esports,42210,Icebox,51957,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Final,7419,G2 Esports vs Guild Esports,42211,Bind,51959,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Final,7419,G2 Esports vs Guild Esports,42211,Haven,51960,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Grand Final,7415,Team Liquid vs Guild Esports,42205,Haven,51941,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Grand Final,7415,Team Liquid vs Guild Esports,42205,Ascent,51942,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Grand Final,7415,Team Liquid vs Guild Esports,42205,Split,51943,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Grand Final,7415,Team Liquid vs Guild Esports,42205,Breeze,52077,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Round 1,,BOOM Esports vs FENNEL,39489,Ascent,51494,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Round 1,,BOOM Esports vs FENNEL,39489,Icebox,51495,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Round 1,,Global Esports vs DAMWON Gaming,39490,Haven,51497,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Round 1,,Global Esports vs DAMWON Gaming,39490,Ascent,51498,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Round 1,,Global Esports vs DAMWON Gaming,39490,Split,51499,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,FULL SENSE vs REJECT,39491,Ascent,51500,2021
