Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,sova,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,jett,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,killjoy,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,brimstone,13%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,fade,13%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,harbor,13%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,sage,13%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,neon,13%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,phoenix,13%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,kayo,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,reyna,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,iso,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,gekko,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,deadlock,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,chamber,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,All Maps,yoru,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,skye,75%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,raze,100%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,cypher,75%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,astra,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,breach,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,omen,75%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,viper,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,sova,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,jett,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,killjoy,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,brimstone,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,fade,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,harbor,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,sage,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,neon,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,phoenix,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,kayo,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,reyna,0%
