Tournament,Stage,Match Type,Map,Team,Agent Picked,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Natus Vincere,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Natus Vincere,phoenix,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Natus Vincere,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Natus Vincere,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Natus Vincere,neon,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Natus Vincere,cypher,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Natus Vincere,brimstone,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Karmine Corp,sova,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Karmine Corp,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Karmine Corp,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Karmine Corp,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Lotus,Karmine Corp,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Natus Vincere,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Natus Vincere,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Natus Vincere,kayo,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Natus Vincere,fade,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Natus Vincere,sage,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Karmine Corp,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Karmine Corp,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Karmine Corp,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Karmine Corp,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Ascent,Karmine Corp,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Natus Vincere,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Natus Vincere,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Natus Vincere,astra,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Natus Vincere,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Natus Vincere,kayo,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Karmine Corp,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Karmine Corp,astra,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Karmine Corp,harbor,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Karmine Corp,phoenix,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Pearl,Karmine Corp,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,KOI,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,KOI,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,KOI,astra,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,KOI,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,KOI,viper,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,Natus Vincere,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,Natus Vincere,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,Natus Vincere,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,Natus Vincere,cypher,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Split,Natus Vincere,fade,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,KOI,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,KOI,astra,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,KOI,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,KOI,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,KOI,kayo,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,Natus Vincere,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,Natus Vincere,astra,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,Natus Vincere,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,Natus Vincere,kayo,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Pearl,Natus Vincere,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,KOI,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,KOI,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,KOI,cypher,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,KOI,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,KOI,brimstone,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,Natus Vincere,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,Natus Vincere,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,Natus Vincere,viper,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,Natus Vincere,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,Fracture,Natus Vincere,fade,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Natus Vincere,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Natus Vincere,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Natus Vincere,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Natus Vincere,viper,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Natus Vincere,fade,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,KOI,raze,1,1,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,KOI,skye,1,1,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,KOI,breach,1,1,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,KOI,cypher,1,1,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,KOI,brimstone,1,1,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Team Heretics,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Team Heretics,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Team Heretics,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Team Heretics,cypher,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Fracture,Team Heretics,viper,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,Natus Vincere,jett,2,0,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,Natus Vincere,killjoy,2,0,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,Natus Vincere,astra,2,0,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,Natus Vincere,sova,2,0,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,Natus Vincere,kayo,2,0,2
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,KOI,skye,0,3,3
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,KOI,jett,0,3,3
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,KOI,killjoy,0,3,3
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,KOI,astra,0,3,3
Champions Tour 2023: EMEA Last Chance Qualifier,All Stages,All Match Types,Pearl,KOI,kayo,0,3,3
