Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,Global Esports,Pistol Won,,4
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,Global Esports,Eco (won),5,4
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,Global Esports,$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,Global Esports,$$ (won),16,11
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,Global Esports,$$$ (won),16,11
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,Eco (won),7,0
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,$$ (won),7,4
Champions Tour 2023: Pacific League,League Play,Week 8,Global Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,$$$ (won),23,9
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Talon Esports,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Talon Esports,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Talon Esports,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Talon Esports,$$ (won),2,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Talon Esports,$$$ (won),11,10
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Rex Regum Qeon,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Rex Regum Qeon,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Rex Regum Qeon,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Rex Regum Qeon,$$ (won),6,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Split,Rex Regum Qeon,$$$ (won),6,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Talon Esports,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Talon Esports,Eco (won),5,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Talon Esports,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Talon Esports,$$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Talon Esports,$$$ (won),9,3
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Rex Regum Qeon,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Rex Regum Qeon,Eco (won),2,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Rex Regum Qeon,$ (won),1,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Rex Regum Qeon,$$ (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Ascent,Rex Regum Qeon,$$$ (won),11,9
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Talon Esports,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Talon Esports,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Talon Esports,$ (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Talon Esports,$$ (won),4,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Talon Esports,$$$ (won),10,3
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Rex Regum Qeon,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Rex Regum Qeon,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Rex Regum Qeon,$ (won),1,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Rex Regum Qeon,$$ (won),5,4
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,Haven,Rex Regum Qeon,$$$ (won),11,7
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Talon Esports,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Talon Esports,Eco (won),11,3
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Talon Esports,$ (won),4,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Talon Esports,$$ (won),8,4
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Talon Esports,$$$ (won),30,16
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Rex Regum Qeon,Pistol Won,,4
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Rex Regum Qeon,Eco (won),8,4
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$ (won),3,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$$ (won),14,7
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$$$ (won),28,16
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,ZETA DIVISION,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,ZETA DIVISION,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,ZETA DIVISION,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,ZETA DIVISION,$$ (won),6,4
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,ZETA DIVISION,$$$ (won),11,8
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,Gen.G,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,Gen.G,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,Gen.G,$ (won),4,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,Gen.G,$$ (won),3,2
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Haven,Gen.G,$$$ (won),11,5
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,ZETA DIVISION,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,ZETA DIVISION,Eco (won),3,2
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,ZETA DIVISION,$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,ZETA DIVISION,$$ (won),11,2
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,ZETA DIVISION,$$$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,Gen.G,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,Gen.G,Eco (won),4,1
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,Gen.G,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,Gen.G,$$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Ascent,Gen.G,$$$ (won),13,12
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,ZETA DIVISION,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,ZETA DIVISION,Eco (won),2,2
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,ZETA DIVISION,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,ZETA DIVISION,$$ (won),5,4
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,ZETA DIVISION,$$$ (won),10,7
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,Gen.G,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,Gen.G,Eco (won),5,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,Gen.G,$ (won),2,1
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,Gen.G,$$ (won),3,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,Fracture,Gen.G,$$$ (won),7,3
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,ZETA DIVISION,Pistol Won,,5
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,ZETA DIVISION,Eco (won),8,5
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,ZETA DIVISION,$ (won),3,0
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,ZETA DIVISION,$$ (won),22,10
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,ZETA DIVISION,$$$ (won),22,15
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,Gen.G,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,Gen.G,Eco (won),12,2
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,Gen.G,$ (won),6,1
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,Gen.G,$$ (won),6,2
Champions Tour 2023: Pacific League,League Play,Week 8,ZETA DIVISION vs Gen.G,All Maps,Gen.G,$$$ (won),31,20
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,T1,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,T1,Eco (won),4,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,T1,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,T1,$$ (won),4,1
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,T1,$$$ (won),15,9
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,DRX,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,DRX,Eco (won),2,2
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,DRX,$ (won),3,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,DRX,$$ (won),4,3
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Bind,DRX,$$$ (won),14,8
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,T1,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,T1,Eco (won),3,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,T1,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,T1,$$ (won),4,4
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,T1,$$$ (won),14,5
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,DRX,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,DRX,Eco (won),2,2
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,DRX,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,DRX,$$ (won),5,2
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,Pearl,DRX,$$$ (won),14,9
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,T1,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,T1,Eco (won),7,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,T1,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,T1,$$ (won),8,5
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,T1,$$$ (won),29,14
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,DRX,Pistol Won,,4
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,DRX,Eco (won),4,4
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,DRX,$ (won),4,0
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,DRX,$$ (won),9,5
Champions Tour 2023: Pacific League,League Play,Week 8,T1 vs DRX,All Maps,DRX,$$$ (won),28,17
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Team Secret,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Team Secret,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Team Secret,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Team Secret,$$ (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Team Secret,$$$ (won),16,11
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Global Esports,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Global Esports,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Global Esports,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Global Esports,$$ (won),7,4
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Haven,Global Esports,$$$ (won),11,4
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Team Secret,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Team Secret,Eco (won),2,2
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Team Secret,$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Team Secret,$$ (won),3,2
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Team Secret,$$$ (won),16,9
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Global Esports,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Global Esports,Eco (won),4,0
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Global Esports,$ (won),1,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Global Esports,$$ (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,Lotus,Global Esports,$$$ (won),15,8
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Team Secret,Pistol Won,,3
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Team Secret,Eco (won),5,3
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Team Secret,$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Team Secret,$$ (won),6,3
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Team Secret,$$$ (won),32,20
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Global Esports,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Global Esports,Eco (won),7,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Global Esports,$ (won),2,1
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Global Esports,$$ (won),10,5
Champions Tour 2023: Pacific League,League Play,Week 8,Team Secret vs Global Esports,All Maps,Global Esports,$$$ (won),26,12
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,Talon Esports,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,Talon Esports,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,Talon Esports,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,Talon Esports,$$ (won),6,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,Talon Esports,$$$ (won),15,10
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,DetonatioN FocusMe,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,DetonatioN FocusMe,Eco (won),3,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,DetonatioN FocusMe,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,DetonatioN FocusMe,$$ (won),6,3
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Lotus,DetonatioN FocusMe,$$$ (won),14,7
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,Talon Esports,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,Talon Esports,Eco (won),3,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,Talon Esports,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,Talon Esports,$$ (won),3,2
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,Talon Esports,$$$ (won),11,9
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,DetonatioN FocusMe,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,DetonatioN FocusMe,Eco (won),3,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,DetonatioN FocusMe,$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,DetonatioN FocusMe,$$ (won),7,3
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,Bind,DetonatioN FocusMe,$$$ (won),6,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,Talon Esports,Pistol Won,,3
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,Talon Esports,Eco (won),6,3
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,Talon Esports,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,Talon Esports,$$ (won),9,4
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,Talon Esports,$$$ (won),26,19
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,Pistol Won,,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,Eco (won),6,1
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,$$ (won),13,6
Champions Tour 2023: Pacific League,League Play,Week 8,Talon Esports vs DetonatioN FocusMe,All Maps,DetonatioN FocusMe,$$$ (won),20,8
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Rex Regum Qeon,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Rex Regum Qeon,Eco (won),4,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Rex Regum Qeon,$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Rex Regum Qeon,$$ (won),1,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Rex Regum Qeon,$$$ (won),15,9
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Paper Rex,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Paper Rex,Eco (won),2,2
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Paper Rex,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Paper Rex,$$ (won),6,4
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Bind,Paper Rex,$$$ (won),14,7
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Rex Regum Qeon,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Rex Regum Qeon,Eco (won),5,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Rex Regum Qeon,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Rex Regum Qeon,$$ (won),6,3
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Rex Regum Qeon,$$$ (won),13,8
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Paper Rex,Pistol Won,,2
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Paper Rex,Eco (won),2,2
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Paper Rex,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Paper Rex,$$ (won),10,5
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,Pearl,Paper Rex,$$$ (won),12,6
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Rex Regum Qeon,Pistol Won,,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Rex Regum Qeon,Eco (won),9,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Rex Regum Qeon,$ (won),2,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Rex Regum Qeon,$$ (won),7,3
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Rex Regum Qeon,$$$ (won),28,17
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Paper Rex,Pistol Won,,4
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Paper Rex,Eco (won),4,4
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Paper Rex,$ (won),0,0
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Paper Rex,$$ (won),16,9
Champions Tour 2023: Pacific League,League Play,Week 8,Rex Regum Qeon vs Paper Rex,All Maps,Paper Rex,$$$ (won),26,13
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,T1,Pistol Won,,1
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,T1,Eco (won),3,1
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,T1,$ (won),1,0
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,T1,$$ (won),3,2
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,T1,$$$ (won),14,10
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,Gen.G,Pistol Won,,1
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,Gen.G,Eco (won),3,1
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,Gen.G,$ (won),1,0
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,T1 vs Gen.G,Fracture,Gen.G,$$ (won),5,1
